Atlético-MG,Bolívar,24/09/2025,19:00,2025-09-24T22:00:00.000Z,Copa Sul-Americana,Disney+,https://ge.globo.com/mg/futebol/copa-sul-americana/jogo/24-09-2025/atletico-mg-bolivar.ghtml
Atlético-GO,América-MG,25/09/2025,21:30,2025-09-26T00:30:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/go/futebol/brasileirao-serie-b/jogo/25-09-2025/atletico-go-america-mg.ghtml
Vasco da Gama,Bahia,24/09/2025,19:30,2025-09-24T22:30:00.000Z,Campeonato Brasileiro,Prime Vídeo,https://ge.globo.com/futebol/times/bahia/agenda-de-jogos-do-bahia
Grêmio,Botafogo,24/09/2025,19:30,2025-09-24T22:30:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/botafogo/agenda-de-jogos-do-botafogo
Corinthians,Flamengo,28/09/2025,20:30,2025-09-28T23:30:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/corinthians/agenda-de-jogos-do-corinthians
Vasco da Gama,Cruzeiro,27/09/2025,18:30,2025-09-27T21:30:00.000Z,Campeonato Brasileiro,Prime Vídeo,https://ge.globo.com/futebol/times/cruzeiro/agenda-de-jogos-do-cruzeiro
Estudiantes,Flamengo,25/09/2025,21:30,2025-09-26T00:30:00.000Z,Taça Conmebol Libertadores,Disney+,https://ge.globo.com/futebol/times/flamengo/agenda-de-jogos-do-flamengo
Fluminense,Lanús,23/09/2025,21:30,2025-09-24T00:30:00.000Z,Copa Sul-Americana,Paramount+,https://ge.globo.com/futebol/copa-sul-americana/jogo/23-09-2025/fluminense-lanus.ghtml
Juventude,Internacional,27/09/2025,18:30,2025-09-27T21:30:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/internacional/agenda-de-jogos-do-internacional
Palmeiras,River Plate,24/09/2025,21:30,2025-09-25T00:30:00.000Z,Taça Conmebol Libertadores,Disney+|Globo|globoplay|Ge TV,https://ge.globo.com/sp/futebol/libertadores/jogo/24-09-2025/palmeiras-river-plate.ghtml
São Paulo,LDU,25/09/2025,19:00,2025-09-25T22:00:00.000Z,Taça Conmebol Libertadores,Paramount+,https://ge.globo.com/sp/futebol/libertadores/jogo/25-09-2025/sao-paulo-ldu-quito.ghtml
Red Bull Bragantino,Santos,28/09/2025,18:30,2025-09-28T21:30:00.000Z,Campeonato Brasileiro,sportv|Premiere|globoplay,https://ge.globo.com/futebol/times/bragantino/agenda-de-jogos-do-bragantino
São Paulo,Ceará,29/09/2025,20:00,2025-09-29T23:00:00.000Z,Campeonato Brasileiro,sportv|Premiere|globoplay,https://ge.globo.com/futebol/times/ceara/agenda-de-jogos-do-ceara
Fortaleza,Cruzeiro,27/09/2025,16:00,2025-09-27T19:00:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/fortaleza/agenda-de-jogos-do-fortaleza
Grêmio,Vitória,28/09/2025,11:00,2025-09-28T14:00:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/vitoria/agenda-de-jogos-do-vitoria
CRB,Botafogo,24/09/2025,19:00,2025-09-24T22:00:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/futebol/times/botafogo-sp/agenda-de-jogos-do-botafogo-sp
Corinthians,Criciúma,25/09/2025,19:00,2025-09-25T22:00:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/pr/futebol/brasileirao-serie-b/jogo/25-09-2025/coritiba-criciuma.ghtml
Ferroviária,Goiás,23/09/2025,21:35,2025-09-24T00:35:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/sp/ribeirao-preto-e-regiao/futebol/brasileirao-serie-b/jogo/23-09-2025/ferroviaria-goias.ghtml
Vila Nova,Cuiabá,24/09/2025,19:00,2025-09-24T22:00:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/go/futebol/brasileirao-serie-b/jogo/24-09-2025/vila-nova-cuiaba.ghtml
Atlético-MG,Cruzeiro,15/10/2025,21:30,2025-10-16T00:30:00.000Z,Campeonato Brasileiro,Premiere|Globo|globoplay,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/15-10-2025/atletico-mg-cruzeiro.ghtml
Volta Redonda,Atlético-GO,13/10/2025,19:00,2025-10-13T22:00:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/rj/sul-do-rio-costa-verde/futebol/brasileirao-serie-b/jogo/13-10-2025/volta-redonda-atletico-go.ghtml
Vitória,Bahia,16/10/2025,21:30,2025-10-17T00:30:00.000Z,Campeonato Brasileiro,sportv|Premiere|globoplay,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/16-10-2025/vitoria-bahia.ghtml
Botafogo,Flamengo,15/10/2025,19:30,2025-10-15T22:30:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/botafogo/agenda-de-jogos-do-botafogo
Santos,Corinthians,15/10/2025,21:30,2025-10-16T00:30:00.000Z,Campeonato Brasileiro,Premiere|Globo|globoplay|Ge TV,https://ge.globo.com/futebol/times/corinthians/agenda-de-jogos-do-corinthians
Criciúma,América-MG,12/10/2025,18:30,2025-10-12T21:30:00.000Z,Campeonato Brasileiro Série B,Disney+,https://ge.globo.com/sc/futebol/brasileirao-serie-b/jogo/12-10-2025/criciuma-america-mg.ghtml
Fluminense,Juventude,16/10/2025,21:30,2025-10-17T00:30:00.000Z,Campeonato Brasileiro,Prime Vídeo,https://ge.globo.com/futebol/times/fluminense/agenda-de-jogos-do-fluminense
Fortaleza,Vasco da Gama,15/10/2025,21:30,2025-10-16T00:30:00.000Z,Campeonato Brasileiro,Premiere|Globo|globoplay,https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/15-10-2025/fortaleza-vasco.ghtml
Grêmio,São Paulo,16/10/2025,19:00,2025-10-16T22:00:00.000Z,Campeonato Brasileiro,sportv|Premiere|globoplay,https://ge.globo.com/futebol/times/gremio/agenda-de-jogos-do-gremio
Mirassol,Internacional,15/10/2025,20:00,2025-10-15T23:00:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/internacional/agenda-de-jogos-do-internacional
Palmeiras,Juventude,11/10/2025,19:00,2025-10-11T22:00:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/11-10-2025/palmeiras-juventude.ghtml
Cruzeiro,Ceará,15/10/2025,20:00,2025-10-15T23:00:00.000Z,Campeonato Brasileiro,Premiere|globoplay,https://ge.globo.com/futebol/times/ceara/agenda-de-jogos-do-ceara
